"","edge","mean","pattern"
"175",0.943171,0.135046,10.306413
"176",0.572103,0.133807,23.671157
"177",0.920003,0.146783,13.488794
"178",0.634849,0.130544,21.635503
"179",0.983384,0.141202,14.219175
"180",0.745194,0.131597,3.673648
"181",0.824529,0.161621,12.354647
"182",0.799898,0.115122,25.152483
"183",0.760007,0.133535,19.021223
"184",0.660124,0.184322,18.950145
"185",0.577562,0.168034,24.305685
"186",0.604988,0.12405,33.790142
"187",0.739489,0.195897,8.623947
"188",0.606475,0.169961,16.181782
"189",0.892668,0.133485,18.370129
"190",0.577307,0.153126,18.908714
"191",0.559179,0.252768,13.084463
"192",0.774607,0.130613,14.883714
"193",0.846339,0.152629,7.52455
"194",0.776949,0.129084,16.988464
"195",0.627898,0.149761,34.719102
"196",0.661487,0.151561,11.462469
"197",0.589985,0.154158,7.959892
"198",0.535822,0.173593,-6.055141
"199",0.797259,0.132312,0.296436
"200",0.613154,0.17225,15.179268
"201",0.652111,0.129357,12.950979
"202",0.547225,0.159847,29.207281
"203",0.63023,0.150775,-15.885836
"204",0.715522,0.144924,26.427336
"205",0.643366,0.161399,16.513374
"206",0.543094,0.131139,25.922453
"207",0.602394,0.140691,28.792989
"208",0.575303,0.15114,32.076867
"209",0.638126,0.150591,-6.323735
"210",0.936693,0.149784,18.766916
"211",0.949168,0.15552,5.525145
"212",0.836476,0.142777,22.614521
"213",0.640053,0.134744,9.599691
"214",0.587627,0.194139,-2.703788
"215",0.764797,0.151073,3.460984
"216",0.832899,0.14696,25.948267
"217",0.529486,0.149332,21.898879
"218",0.546241,0.146556,24.527001
"219",0.646957,0.139119,12.629184
"220",0.669142,0.144113,0.111873
"221",0.993613,0.147091,12.014697
"222",0.59814,0.161733,33.063985
"223",0.632849,0.156426,20.06643
"224",0.682247,0.179458,4.227024
"225",0.585256,0.15309,20.928642
"226",0.604361,0.166191,11.284251
"227",0.616632,0.148408,23.979621
"228",0.6792,0.169928,11.88488
"229",0.706988,0.139834,19.046159
"230",0.55641,0.169942,22.953347
"231",0.630414,0.200302,12.705306
"232",0.718881,0.167011,22.058815
"233",0.641266,0.157431,-8.913721
"234",0.799386,0.142702,24.595117
"235",0.58358,0.145142,11.916081
"236",0.590587,0.149733,22.392319
"237",0.552322,0.178586,22.555422
"238",0.494369,0.170893,25.893373
"239",0.605263,0.140249,7.319565
"240",0.597179,0.145686,22.381784
"241",0.667217,0.1719,24.915477
"242",0.624059,0.167536,13.270195
"243",0.914979,0.146505,0.517919
"244",0.673337,0.180385,5.854156
"245",0.941755,0.136862,22.053091
"246",0.571909,0.16851,26.571931
"247",0.606457,0.15832,13.48488
"248",0.650515,0.157627,29.135019
"249",0.804897,0.13799,7.233422
"250",0.690022,0.141177,-1.906287
"251",0.632908,0.16166,15.075012
"252",0.590665,0.156843,26.614486
"253",0.754597,0.169021,12.529239
"254",0.676629,0.164496,1.390642
"255",0.617435,0.165116,13.243997
"256",0.873578,0.134758,21.565384
"257",0.653602,0.160226,-2.546681
"258",0.647344,0.194717,12.918186
"259",0.699075,0.237418,36.555182
"260",0.648867,0.143967,28.613428
"261",0.662133,0.134767,-3.084532
"262",0.576616,0.165175,24.227687
"263",0.63724,0.154386,12.0025
"264",0.622296,0.159159,14.284402
"265",0.596381,0.171264,22.978724
"266",0.596652,0.21554,8.723447
"267",0.624317,0.165081,11.831638
"268",0.574924,0.175108,-2.840248
"269",0.863439,0.155226,14.937883
"270",0.616682,0.157614,17.944201
"271",0.481829,0.216079,49.430422
"272",0.600962,0.165386,9.858827
"273",0.593413,0.162298,8.424714
"274",0.606803,0.160403,9.884793
"275",0.570678,0.171338,2.287161
"276",0.568641,0.201506,-33.490777
"277",0.709977,0.167984,5.120495
"278",0.586349,0.189995,45.188928
"279",0.623801,0.193428,18.778583
"280",0.705458,0.119279,29.217226
"281",0.738896,0.134951,-3.556623
"282",0.657024,0.147054,-0.976724
"283",0.698536,0.1686,12.516245
"284",0.51476,0.177802,42.034781
"285",0.695047,0.192222,17.134731
"286",0.771979,0.220324,-2.165892
"287",0.612071,0.157554,7.131603
"288",0.618655,0.169325,10.708269
