"","edge","mean","pattern"
"173",0.517164,0.146617,-52.737817
"174",0.764572,0.127918,-0.652269
"175",0.656644,0.099675,-3.929417
"176",0.715587,0.1037,0.896717
"177",0.781113,0.118713,7.296711
"178",0.727615,0.111521,-6.278912
"179",0.945422,0.109554,4.759979
"180",0.55855,0.089666,-1.158704
"181",0.66431,0.127313,-15.06518
"182",0.666973,0.076421,-3.181594
"183",0.665238,0.105544,0.885375
"184",0.622286,0.143509,-4.753683
"185",0.614107,0.125891,14.274984
"186",0.530195,0.087563,14.895721
"187",0.597133,0.163089,2.838874
"188",0.740806,0.129532,-3.161876
"189",0.920341,0.110336,-3.005697
"190",0.664659,0.113794,1.655931
"191",0.549012,0.208948,-2.199107
"192",0.602302,0.099071,-11.762181
"193",0.742726,0.11825,-3.170656
"194",0.669253,0.085045,5.112835
"195",0.583226,0.109644,15.503474
"196",0.587984,0.101434,1.700904
"197",0.700948,0.10581,8.814714
"198",0.590344,0.135713,-26.700279
"199",0.640193,0.084555,-7.801053
"200",0.576432,0.127128,3.069833
"201",0.694758,0.084707,-1.241983
"202",0.610838,0.114064,2.390944
"203",0.592381,0.115814,-26.133095
"204",0.577443,0.116383,-1.668861
"205",0.628234,0.122828,14.738289
"206",0.79362,0.097798,5.234067
"207",0.708836,0.099123,7.915809
"208",0.494955,0.115126,14.536765
"209",0.55142,0.099847,-16.648612
"210",0.840857,0.112495,11.797368
"211",0.780681,0.123839,0.489685
"212",0.701578,0.111938,5.418335
"213",0.744305,0.096757,-8.351234
"214",0.566648,0.170364,-22.759789
"215",0.615486,0.108407,-10.80261
"216",0.617805,0.11678,12.126781
"217",0.602936,0.112727,11.979421
"218",0.562756,0.106801,-1.147343
"219",0.600686,0.101729,-6.320168
"220",0.671302,0.107713,-11.267887
"221",0.916836,0.106603,9.402795
"222",0.56176,0.12181,15.568895
"223",0.618969,0.109457,19.858318
"224",0.664197,0.148726,-11.749319
"225",0.576486,0.122558,6.169192
"226",0.581684,0.125524,-0.054825
"227",0.582096,0.101748,16.027246
"228",0.773859,0.116761,3.672898
"229",0.753669,0.096352,6.704523
"230",0.592584,0.142761,7.33905
"231",0.667174,0.150077,-2.76063
"232",0.611145,0.119619,8.657645
"233",0.624861,0.12245,-18.314105
"234",0.802959,0.109302,12.631724
"235",0.571899,0.114307,-5.702128
"236",0.523082,0.104977,2.678758
"237",0.69265,0.148151,2.290145
"238",0.657239,0.141116,11.479312
"239",0.555781,0.107453,-4.379801
"240",0.597674,0.11289,0.537172
"241",0.636031,0.129745,16.399274
"242",0.542264,0.124765,5.214637
"243",0.663744,0.105333,-4.950751
"244",0.614324,0.153134,-18.625352
"245",0.693856,0.098948,0.110159
