"","edge","mean","pattern"
"177",0.956105,0.153268,11.991498
"178",0.922279,0.149655,14.852166
"179",0.664727,0.161822,13.212637
"180",0.577432,0.165765,24.212089
"181",0.75733,0.154144,21.463069
"182",0.643757,0.16683,3.098322
"183",0.915548,0.154092,17.57736
"184",0.764907,0.164912,6.487705
"185",0.966357,0.14521,16.429721
"186",0.620289,0.135474,26.398062
"187",0.671044,0.163599,10.838775
"188",0.918128,0.131712,18.174172
"189",0.681823,0.141282,21.376715
"190",0.648313,0.19252,30.549208
"191",0.652378,0.188407,-5.345941
"192",0.966157,0.150108,10.890967
"193",0.448862,0.163695,26.922073
"194",0.61001,0.17332,10.392985
"195",0.616264,0.133734,18.690505
"196",0.683431,0.138454,18.429226
"197",0.616282,0.168785,-3.108932
"198",0.726023,0.163971,11.940525
"199",0.618734,0.154761,-4.063491
"200",0.645921,0.147442,18.090725
"201",0.654144,0.159205,14.632587
"202",0.592279,0.171681,39.086189
"203",0.605104,0.166939,17.323395
"204",0.690807,0.165866,23.627709
"205",0.69938,0.186419,-1.110821
"206",0.645374,0.152448,19.34841
"207",0.632802,0.167302,14.598385
"208",0.644781,0.170033,17.151992
"209",0.714273,0.146944,18.20935
"210",0.625935,0.167159,6.419559
"211",0.857339,0.145901,17.665248
"212",0.877128,0.145162,18.244466
"213",0.63501,0.156802,13.180977
"214",0.621134,0.153144,17.443049
"215",0.589698,0.176959,6.322074
"216",0.644108,0.157752,18.968843
"217",0.922347,0.160911,9.520543
"218",0.759452,0.156133,18.039204
"219",0.575569,0.153234,16.4272
"220",0.626528,0.163179,19.342761
"221",0.658834,0.15614,15.145453
"222",0.811698,0.149896,19.236664
"223",0.648231,0.134985,21.015496
"224",0.608568,0.168104,19.151751
"225",0.765419,0.143063,13.424229
"226",0.847867,0.140981,21.764374
"227",0.591696,0.154345,21.417806
"228",0.610163,0.154857,14.784485
"229",0.635927,0.16986,12.410486
"230",0.616044,0.155587,17.628171
"231",0.580251,0.16361,5.260767
"232",0.747156,0.135169,22.65727
"233",0.969953,0.148175,9.999452
"234",0.608772,0.143014,17.444017
"235",0.92061,0.155012,8.686689
"236",0.583801,0.154887,22.580221
"237",0.602492,0.148311,20.033273
"238",0.9455,0.144766,9.965533
"239",0.740047,0.146427,19.889753
"240",0.900306,0.154717,15.075718
"241",0.660789,0.174882,22.592031
"242",0.687524,0.151344,8.952306
"243",0.634049,0.158393,18.921951
"244",0.795253,0.140485,20.859388
"245",0.677698,0.151548,12.199464
"246",0.731763,0.15436,16.409623
"247",0.713151,0.149888,11.278001
"248",0.754998,0.15605,16.8776
"249",0.620168,0.166661,19.585996
"250",0.696405,0.15717,15.179474
"251",0.569029,0.165092,-2.204772
"252",0.968229,0.148402,2.66327
"253",0.59484,0.149881,20.104513
"254",0.685814,0.159367,12.866245
"255",0.591226,0.159277,3.251377
"256",0.71001,0.15267,14.809306
"257",0.679028,0.151726,13.380654
"258",0.705802,0.172915,12.505936
"259",0.712377,0.168362,14.551349
"260",0.663235,0.156159,18.347366
"261",0.589389,0.139773,22.464355
"262",0.669982,0.153911,21.941235
"263",0.798932,0.1395,20.149346
"264",0.927542,0.137079,19.22332
"265",0.633233,0.138727,23.053869
"266",0.616675,0.164948,7.595682
"267",0.718595,0.164474,15.643156
"268",0.847525,0.141909,18.470937
"269",0.816594,0.156304,13.226355
"270",0.839743,0.15036,17.33593
